m_x,xsec
1840.0,122.19036110086061
1850.0,119.15964086025187
1860.0,110.80590637003597
1870.0,106.32841450334375
1880.0,105.15709040698036
1890.0,102.21738545698554
1900.0,101.98346195452415
1910.0,97.10604943877978
1920.0,94.87565440522363
1930.0,89.96548482064975
1940.0,88.38630480833547
1950.0,85.27060142036326
1960.0,81.54070519841923
1970.0,80.63399077201352
1980.0,75.07607338107078
1990.0,73.92451996003186
2000.0,72.270049830043
2010.0,69.63542168995389
2020.0,66.95465823479962
2030.0,65.6912909960289
2040.0,63.61861999340516
2050.0,61.18690678851067
2060.0,60.16404978078695
2070.0,58.75470319038135
2080.0,56.02783270305643
2090.0,55.66677764233697
2100.0,53.33573445305609
2110.0,52.45448082257851
2120.0,51.09172277020581
2130.0,48.339635340607614
2140.0,48.041799832405076
2150.0,45.604041405345235
2160.0,45.029347870471575
2170.0,42.72444901328888
2180.0,42.72523930926239
2190.0,40.96303885919388
2200.0,39.54615794734083
2210.0,39.24283199178615
2220.0,37.19985995615424
2230.0,36.80574604238862
2240.0,36.0390041077101
2250.0,34.92537221684675
2260.0,33.48771908716256
2270.0,32.61092806691539
2280.0,31.858511427002732
2290.0,30.212657280651413
2300.0,30.530125027437258
2310.0,28.948095597738142
2320.0,27.966613384743066
2330.0,28.374073246508175
2340.0,26.59094703640414
2350.0,26.046655131174468
2360.0,24.8205502943865
2370.0,24.578338148750785
2380.0,23.795184890592243
2390.0,23.161488947514343
2400.0,22.55693182202844
2410.0,21.788417450312053
2420.0,21.76207225338426
2430.0,20.841774779887718
2440.0,20.334882207684924
2450.0,19.979541559283216
2460.0,19.314132465209255
2470.0,18.812391639550498
2480.0,18.310558959502316
2490.0,17.792054880085477
2500.0,17.0345121317267
2510.0,16.769970765652605
2520.0,16.15461584505972
2530.0,15.583287409981924
2540.0,15.3997435846818
2550.0,15.264230118120583
2560.0,14.83871534211005
2570.0,14.487234455348158
2580.0,14.11012880043053
2590.0,13.589977373555884
2600.0,12.88468333452072
2610.0,12.640592230875415
2620.0,12.62007950883595
2630.0,12.163628429628007
2640.0,11.86589251381106
2650.0,11.422849154480938
2660.0,11.072635041481407
2670.0,11.099823206212571
2680.0,10.60078784050817
2690.0,10.404064209330883
2700.0,10.308087671133778
2710.0,9.973086150843182
2720.0,9.74054078349267
2730.0,9.330208150353533
2740.0,9.041553631977303
2750.0,8.97975524677746
2760.0,8.693112956561333
2770.0,8.450429044552356
2780.0,8.231547062886829
2790.0,7.9411277457926195
2800.0,7.874702660342164
2810.0,7.6167854440765606
2820.0,7.3627335994609115
2830.0,7.10149918419786
2840.0,7.053260612959887
2850.0,6.945258628871304
2860.0,6.676880989983074
2870.0,6.563755926437245
