m_x,gtot
2250.0,1.0170731031348266
2260.0,1.0170780896095992
2270.0,1.0170829709560498
2280.0,1.0170877492736157
2290.0,1.0170924266123709
2300.0,1.0170970049743866
2310.0,1.0171014863150554
2320.0,1.0171058725443676
2330.0,1.0171101655281494
2340.0,1.0171143670892626
2350.0,1.0171184790087653
2360.0,1.0171225030270397
2370.0,1.0171264408448772
2380.0,1.0171302941245421
2390.0,1.0171340644907874
2400.0,1.017137753531858
2410.0,1.0171413628004415
2420.0,1.0171448938146102
2430.0,1.0171483480587193
2440.0,1.0171517269842922
2450.0,1.0171550320108642
2460.0,1.0171582645268114
2470.0,1.0171614258901547
2480.0,1.0171645174293298
2490.0,1.0171675404439509
2500.0,1.0171704962055341
2510.0,1.0171733859582164
2520.0,1.0171762109194393
2530.0,1.0171789722806215
2540.0,1.0171816712078114
2550.0,1.0171843088423151
2560.0,1.017186886301313
2570.0,1.0171894046784562
2580.0,1.0171918650444423
2590.0,1.0171942684475828
2600.0,1.017196615914347
2610.0,1.0171989084498954
2620.0,1.0172011470385935
2630.0,1.0172033326445176
2640.0,1.0172054662119416
2650.0,1.0172075486658083
2660.0,1.0172095809121982
2670.0,1.0172115638387704
2680.0,1.0172134983152064
2690.0,1.0172153851936294
2700.0,1.0172172253090201
2710.0,1.0172190194796182
2720.0,1.0172207685073134
2730.0,1.017222473178025
2740.0,1.0172241342620745
2750.0,1.0172257525145436
2760.0,1.0172273286756275
2770.0,1.017228863470975
2780.0,1.0172303576120207
2790.0,1.0172318117963104
2800.0,1.0172332267078164
2810.0,1.017234603017241
2820.0,1.0172359413823218
2830.0,1.0172372424481189
2840.0,1.0172385068472989
2850.0,1.0172397352004128
2860.0,1.0172409281161643
2870.0,1.017242086191675
2880.0,1.0172432100127347
2890.0,1.0172443001540576
2900.0,1.0172453571795206
2910.0,1.0172463816424022
2920.0,1.0172473740856125
2930.0,1.017248335041919
2940.0,1.0172492650341678
2950.0,1.0172501645754923
2960.0,1.01725103416953
2970.0,1.0172518743106198
2980.0,1.017252685484003
2990.0,1.0172534681660175
3000.0,1.0172542228242845
3010.0,1.0172549499178976
